region,product,month,sales,quantity,profit
华东,手机,2024-01,120000,450,36000
华东,电脑,2024-01,95000,180,28500
华北,手机,2024-01,88000,320,26400
华北,电脑,2024-01,72000,140,21600
华南,手机,2024-01,105000,380,31500
华南,电脑,2024-01,68000,130,20400
西南,手机,2024-01,56000,200,16800
西南,电脑,2024-01,42000,80,12600
华东,手机,2024-02,135000,500,40500
华东,电脑,2024-02,102000,195,30600
华北,手机,2024-02,92000,335,27600
华北,电脑,2024-02,78000,150,23400
华南,手机,2024-02,118000,425,35400
华南,电脑,2024-02,75000,145,22500
西南,手机,2024-02,62000,225,18600
西南,电脑,2024-02,48000,90,14400
华东,手机,2024-03,142000,530,42600
华东,电脑,2024-03,108000,205,32400
华北,手机,2024-03,98000,360,29400
华北,电脑,2024-03,82000,160,24600
华南,手机,2024-03,125000,450,37500
华南,电脑,2024-03,80000,155,24000
西南,手机,2024-03,68000,245,20400
西南,电脑,2024-03,52000,100,15600
华东,手机,2024-04,155000,580,46500
华东,电脑,2024-04,115000,220,34500
华北,手机,2024-04,105000,385,31500
华北,电脑,2024-04,88000,170,26400
华南,手机,2024-04,132000,475,39600
华南,电脑,2024-04,85000,165,25500
西南,手机,2024-04,72000,260,21600
西南,电脑,2024-04,56000,110,16800
